ФИО	Страна	Возраст	Рост, см	Вес	Пол	Дата рождения	Место рождения	Золото	Серебро	Бронза	Всего	Вид спорта	Состязание
Charlotte Becker	Germany	29	173	63	Ж	5 19 1983	DATTELN (GER)	0	0	0	0	Cycling - Road, Cycling - Track	Women's Road Race, Women's Team Pursuit
Kanika Beckles	Grenada	20			Ж	10 03 1991	St Joseph (TRI)	0	0	0	0	Athletics	Women's 400m
Nenad Bedik	Serbia	23	202	96	М	4 14 1989		0	0	0	0	Rowing	Men's Pair
Agata Bednarek	Poland	24	175	57	Ж	6 28 1988	SIERADZ (POL)	0	0	0	0	Athletics	Women's 4 x 400m Relay
Romela Begaj	Albania	25	160	58	Ж	11 02 1986	Tiran√´	0	0	0	0	Weightlifting	Women's 58kg
Irina-Camelia Begu	Romania	21	181	67	Ж	8 26 1990		0	0	0	0	Tennis	Women's Singles
Kieran Behan	Ireland	23	163		М	4 19 1989	GREAT BRITAIN (GBR)	0	0	0	0	Gymnastics - Artistic	Men's Qualification
Pascal Behrenbruch	Germany	27	196	94	М	1 19 1985	Offenbach (GER)	0	0	0	0	Athletics	Men's Decathlon
Clemence Beikes	France	28	180	71	Ж	10 19 1983		0	0	0	0	Basketball	Women's Basketball
Elizabeth Beisel	United States of America	19	168	66	Ж	8 18 1992	Wakefield (USA)	0	1	0	1	Swimming	Women's 200m Backstroke, Women's 400m Individual Medley
Ruth Beitia	Spain	33	191	72	Ж	04 01 1979	Santander (ESP)	0	0	0	0	Athletics	Women's High Jump
Kenenisa Bekele	Ethiopia	30	167	59	М	6 13 1982	Arsi (ETH)	0	0	0	0	Athletics	Men's 5000m, Men's 10,000m
Tariku Bekele	Ethiopia	25	168	62	М	2 28 1987	Arsi (ETH)	0	0	0	0	Athletics	Men's 10,000m
Emir Bekric	Serbia	21	195	88	М	3 14 1991	Beograd (SRB)	0	0	0	0	Athletics	Men's 400m Hurdles
Alexei Bel	Cuba	22			М	6 18 1990	Camaguey (CUB)	0	0	0	0	Wrestling	Men's 74kg Greco-Roman
Mohamed Khaled Belabbas	Algeria	31	178	70	М	07 04 1981	L HAY LES ROSES (FRA)	0	0	0	0	Athletics	Men's 3000m Steeplechase
Friederike Belcher	Germany	30	180	70	Ж	03 06 1982	Hamburg (GER)	0	0	0	0	Sailing	Women's 470
Mathew Belcher	Australia	29	173	62	М	9 20 1982	Gold Coast (AUS)	0	0	0	0	Sailing	Men's 470
Claudia Belderbos	Netherlands	27	176	72	Ж	1 23 1985		0	0	1	1	Rowing	Women's Eight
Almensh Belete	Belgium	23	156	44	Ж	7 26 1989	ADIS ABEBA (ETH)	0	0	0	0	Athletics	Women's 5000m
Mimi Belete	Bahrain	24	168	46	Ж	06 09 1988	ETHIOPIA (ETH)	0	0	0	0	Athletics	Women's 1500m
Sarra Belhocine	Algeria	17	176	58	Ж	9 18 1994		0	0	0	0	Volleyball	Women's Volleyball
Olga Beliaeva	Russian Federation	27	173	64	Ж	3 18 1985	Rostov Region (RUS)	0	0	0	0	Water Polo	Women's Water Polo
Maria Belibasaki	Greece	21			Ж	6 19 1991	AG.NIKOLAOS (GRE)	0	0	0	0	Athletics	Women's 100m, Women's 200m
Marina Belikova	Russian Federation	26	173	58	Ж	11 24 1985	ROSTOV ON DON (RUS)	0	0	0	0	Shooting	Women's Skeet
Bojan Beljanski	Serbia	26	200	105	М	6 22 1986		0	0	0	0	Handball	Men's Handball
Olga Belkina	Russian Federation	21	173	58	Ж	8 23 1990	Leningrad (RUS)	0	0	0	0	Athletics	Women's 100m, Women's 4 x 100m Relay
Daniel Bell	New Zealand	22	180	75	М	05 09 1990	Hastings (NZL)	0	0	0	0	Swimming	Men's 100m Butterfly, Men's 100m Backstroke, Men's 4x100m Medley Relay
Katie Bell	United States of America	24	150	43	Ж	02 05 1988	Columbus (USA)	0	0	0	0	Diving	Women's 10m Platform
Zachary Bell	Canada	29	175	75	М	11 14 1982	WHITEHORSE (CAN)	0	0	0	0	Cycling - Track	Men's Omnium
Francoise Bella	Cameroon	29	158	60	Ж	03 09 1983		0	0	0	0	Football	Women's Football
El Mahdi Bellaarouss	Morocco	22	184	76	М	12 25 1989		0	0	0	0	Football	Men's Football
Jefferson Bellaguarda	Switzerland	35	193	93	М	09 12 1976		0	0	0	0	Beach Volleyball	Men's Beach Volleyball
Craig Bellamy	Great Britain	33	175	64	М	7 13 1979		0	0	0	0	Football	Men's Football
Janeil Bellille	Trinidad and Tobago	23	163	59	Ж	6 18 1989	San Fernando (TRI)	0	0	0	0	Athletics	Women's 400m Hurdles
Concepcion Bellorin	Spain	31	155	57	Ж	11 04 1980	BADAJOZ (ESP)	0	0	0	0	Judo	Women's -57kg
Thomaz Bellucci	Brazil	24			М	12 30 1987		0	0	0	0	Tennis	Men's Singles, Men's Doubles
Tarik Belmadani	France	24	167	60	М	11 17 1987	VIRIAT (FRA)	0	0	0	0	Wrestling	Men's 60kg Greco-Roman
Dailin Belmonte	Cuba	26			Ж	10 15 1985	Santiago de Cuba (CUB)	0	0	0	0	Athletics	Women's Marathon
Mireia Belmonte Garcia	Spain	21	170	60	Ж	11 10 1990	Barcelona (ESP)	0	1	0	1	Swimming	Women's 400m Freestyle, Women's 800m Freestyle, Women's 200m Butterfly, Women's 200m Individual Medley, Women's 400m Individual Medley, Women's 4x200m Freestyle Relay
Yana Belomoyna	Ukraine	19	164	46	Ж	11 02 1992	LUTSK (UKR)	0	0	0	0	Cycling - Mountain Bike	Women's Cross-country
Marco Belotti	Italy	23	185	76	М	11 29 1988	Brescia (ITA)	0	0	0	0	Swimming	Men's 200m Freestyle, Men's 4x200m Freestyle Relay
Vasilii Belous	Republic of Moldova	23	180		М	8 27 1988	OCNITA (MDA)	0	0	0	0	Boxing	Men's Welter (69kg)
Olga Belova	Russian Federation	18	167	50	Ж	8 27 1993		0	0	0	0	Water Polo	Women's Water Polo
Fabiana Beltrame	Brazil	30	173	59	Ж	04 09 1982		0	0	0	0	Rowing	Women's Lightweight Double Sculls
Samuel Beltz	Australia	31	180	70	М	8 31 1980		0	0	0	0	Rowing	Men's Lightweight Four
Daria Belyakina	Russian Federation	25	172	60	Ж	9 16 1986	UZBEKISTAN REGION ()	0	0	0	0	Swimming	Women's 4x200m Freestyle Relay
Evgeniya Belyakova	Russian Federation	26	184	72	Ж	6 27 1986		0	0	0	0	Basketball	Women's Basketball
David Belyavskiy	Russian Federation	20	165		М	2 23 1992	UDMURTIA (RUS)	0	0	0	0	Gymnastics - Artistic	Men's Individual All-Around, Men's Team, Men's Qualification
Mohammed Bemammer	Morocco	22	184	74	М	11 19 1989		0	0	0	0	Football	Men's Football
Haitem Ben Alayech	Tunisia	23	165	65	М	06 10 1989	MORNAG (TUN)	0	0	0	0	Wrestling	Men's 66kg Freestyle
Amira Ben Amor	Tunisia	26	168	49	Ж	09 07 1985	NABEUL (TUN)	0	0	0	0	Athletics	Women's Marathon
Amira Ben Chaabane	Tunisia	22	175	61	Ж	5 29 1990		0	0	0	0	Fencing	Women's Individual Sabre
Mehdi Ben Cheikh	Tunisia	33	183	88	М	5 13 1979	KELIBIA (TUN)	0	0	0	0	Volleyball	Men's Volleyball
Khaoula Ben Hamza	Tunisia	21	170		Ж	5 18 1991	Tunis (TUN)	0	0	0	0	Taekwondo	Women's +67kg
Bilel Ben Hassine	Tunisia	29	195	88	М	6 22 1983	KELIBIA (TUN)	0	0	0	0	Volleyball	Men's Volleyball
Afef Ben Ismail	Tunisia	18	173	60	Ж	3 17 1994	Tunis (TUN)	0	0	0	0	Canoe Sprint	Women's Kayak Single (K1) 200m, Women's Kayak Single (K1) 500m
Makram Ben Romdhane	Tunisia	23	204	102	М	3 27 1989		0	0	0	0	Basketball	Men's Basketball
Mohamed Ben Slimane	Tunisia	30	187	73	М	11 29 1981	Tunis (TUN)	0	0	0	0	Volleyball	Men's Volleyball
Amor Ben Yahia	Tunisia	27	176	54	М	07 01 1985	KEBILIE (TUN)	0	0	0	0	Athletics	Men's 3000m Steeplechase
Diego Benaglio	Switzerland	28	195	89	М	09 08 1983		0	0	0	0	Football	Men's Football
Tarek Aziz Benaissa	Algeria	21	172	60	М	04 07 1991	BORDJ BOU ARRERIDJ (ALG)	0	0	0	0	Wrestling	Men's 60kg Greco-Roman
Maximilian Benassi	Italy	26	184	78	М	1 29 1986	Koln (GER)	0	0	0	0	Canoe Sprint	Men's Kayak Single (K1) 1000m
Alfonso Benavidez Lopez de Ayala	Spain	21	181	84	М	03 09 1991		0	0	0	0	Canoe Sprint	Men's Canoe Single (C1) 200m
Abdelhafid Benchabla	Algeria	25	180		М	9 26 1986		0	0	0	0	Boxing	Men's Light Heavy (81kg)
Jose Reynaldo Bencosme de Leon	Italy	20	185	73	М	5 16 1992	PROVINCIA DI LA VEGA (DOM)	0	0	0	0	Athletics	Men's 400m Hurdles
Michele Benedetti	Italy	27	175	68	М	12 17 1984	Parma (ITA)	0	0	0	0	Diving	Men's 3m Springboard
Nicola Benedetti	Italy	26	198	88	М	12 26 1985	Modena (ITA)	0	0	0	0	Modern Pentathlon	Men's Modern Pentathlon
Petr Benes	Czech Republic	37	198	95	М	11 27 1974		0	0	0	0	Beach Volleyball	Men's Beach Volleyball
Meaghan Benfeito	Canada	23	155	50	Ж	03 02 1989	Montreal (CAN)	0	0	1	1	Diving	Women's 10m Platform, Women's Synchronised 10m Platform
Jerry Bengtson	Honduras	25	182	79	М	04 08 1987		0	0	0	0	Football	Men's Football
Angelica Bengtsson	Sweden	19	163	50	Ж	07 08 1993	VACKELSANG (SWE)	0	0	0	0	Athletics	Women's Pole Vault
Rolf-Goran Bengtsson	Sweden	50	171	70	М	06 02 1962	HARDEBERGA (SWE)	0	0	0	0	Equestrian	Individual Jumping, Team Jumping, CASALL
Tanoh Benie	C√¥te d'Ivoire	18	163	48	Ж	12 21 1993	MPODY	0	0	0	0	Wrestling	Women's 48kg Freestyle
Bruna Beatriz Benites Soares	Brazil	26	178	65	Ж	10 16 1985		0	0	0	0	Football	Women's Football
Alejandra Benitez	Venezuela	32	162	58	Ж	07 07 1980		0	0	0	0	Fencing	Women's Individual Sabre
Pamela Benitez	El Salvador	21	165	57	Ж	05 09 1991	San Salvador (ESA)	0	0	0	0	Swimming	Women's 800m Freestyle
Jenifer Benitez Benitez	Spain	23	160	48	Ж	10 18 1988	LAS PALMAS (ESP)	0	0	0	0	Diving	Women's 3m Springboard
Barbara Benko	Hungary	22	173	61	Ж	1 21 1990	Budapest (HUN)	0	0	0	0	Cycling - Mountain Bike	Women's Cross-country
Julien Benneteau	France	30	185	79	М	12 20 1981		0	0	0	0	Tennis	Men's Singles, Men's Doubles
Laura Bennett	United States of America	37	175	56	Ж	4 25 1975	North Palm Beach (USA)	0	0	0	0	Triathlon	Women's Triathlon
Ronald Bennett	Honduras	27	175	70	М	10 11 1984	TELA (HON)	0	0	0	0	Athletics	Men's 110m Hurdles
Ryan Bennett	Great Britain	22	188	70	М	03 06 1990		0	0	0	0	Football	Men's Football
Hawley Bennett-Awad	Canada	35	161	52	Ж	05 06 1977	Murrayville (CAN)	0	0	0	0	Equestrian	Individual Eventing, Team Eventing, GIN & JUICE
Zohra Bensalem	Algeria	22	178	68	Ж	04 05 1990		0	0	0	0	Volleyball	Women's Volleyball
Craig Benson	Great Britain	18	183	76	М	4 30 1994	Livingston (GBR)	0	0	0	0	Swimming	Men's 100m Breaststroke, Men's 4x100m Medley Relay
Anna Bentley	Great Britain	31	183	73	Ж	1 28 1981		0	0	0	0	Fencing	Women's Individual Foil, Women's Team Foil
Allan Bentsen	Denmark	43	182	85	М	8 21 1968	ODENSE	0	0	0	0	Table Tennis	Men's Singles
Pierre Yves Beny	France	29	166		М	02 12 1983	Lille (FRA)	0	0	0	0	Gymnastics - Artistic	Men's Team, Men's Qualification
Fumiyuki Beppu	Japan	29	180	65	М	04 10 1983	YOKOHAMA (JPN)	0	0	0	0	Cycling - Road	Men's Individual Time Trial, Men's Road Race
Marius Daniel Berbecar	Romania	27	166		М	5 15 1985	Bistrita (ROU)	0	0	0	0	Gymnastics - Artistic	Men's Team, Men's Qualification
Oleg Berdos	Republic of Moldova	25	175	68	М	06 09 1987	Chisinau (MDA)	0	0	0	0	Cycling - Road	Men's Road Race
Tomas Berdych	Czech Republic	26	195	92	М	9 17 1985		0	0	0	0	Tennis	Men's Singles, Men's Doubles
Zsombor Berecz	Hungary	26	195	85	М	4 26 1986	Budapest (HUN)	0	0	0	0	Sailing	Men's Laser
Ricky Berens	United States of America	24	188	93	М	4 21 1988	Charlotte (USA)	1	1	0	2	Swimming	Men's 200m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay
Olga Beresnyeva	Ukraine	26	174	72	Ж	10 12 1985	MARIUPOL (UKR)	0	0	0	0	Swimming	Women's 10km Marathon
Katarina Beresova	Slovakia	24	163	47	Ж	10 10 1987	TREBISOV (SVK)	0	0	0	0	Athletics	Women's Marathon
Yury Berezhko	Russian Federation	28	198	93	М	1 27 1984	KOMSOMOLSK	0	0	0	0	Volleyball	Men's Volleyball
Jana Berezko-Marggrander	Germany	16	165		Ж	10 17 1995	TOLLJATTI (RUS)	0	0	0	0	Gymnastics - Rhythmic	Individual All-Around
Lindsey Berg	United States of America	32	173	77	Ж	7 16 1980	Honolulu (USA)	0	0	0	0	Volleyball	Women's Volleyball
Zakarya Bergdich	Morocco	23	176	70	М	01 07 1989		0	0	0	0	Football	Men's Football
Stig-Andre Berge	Norway	29			М	7 20 1983	Oslo (NOR)	0	0	0	0	Wrestling	Men's 60kg Greco-Roman
Gabriel Bergen	Canada	30	187	92	М	07 06 1982		0	1	0	1	Rowing	Men's Eight
Janine Berger	Germany	16	163		Ж	4 21 1996	DILLINGEN A D DONAU (GER)	0	0	0	0	Gymnastics - Artistic	Women's Team, Women's Qualification
Claire Bergin	Ireland	27	186	61	Ж	02 01 1985	Dublin (IRL)	0	0	0	0	Athletics	Women's 4 x 400m Relay
Jere Bergius	Finland	25	184	76	М	04 04 1987	Valkeakoski (FIN)	0	0	0	0	Athletics	Men's Pole Vault
Emma Berglund	Sweden	23	171	64	Ж	12 19 1988		0	0	0	0	Football	Women's Football
Ignacio Bergner	Argentina	27	191	86	М	8 26 1984		0	0	0	0	Hockey	Men's Hockey
Zuzana Bergrova	Czech Republic	27	175	64	Ж	11 24 1984	Usti Nad Labem (CZE)	0	0	0	0	Athletics	Women's 4 x 400m Relay
Denys Berinchyk	Ukraine	24	170		М	05 05 1988		0	0	0	0	Boxing	Men's Light Welter (64kg)
Eline Berings	Belgium	26	165	58	Ж	5 28 1986	Gent (BEL)	0	0	0	0	Athletics	Women's 100m Hurdles
Lobke Berkhout	Netherlands	31	183	70	Ж	11 11 1980	Amsterdam (NED)	0	0	0	0	Sailing	Women's 470
Krisztian Berki	Hungary	27	178		М	3 18 1985	Budapest (HUN)	0	0	0	0	Gymnastics - Artistic	Men's Qualification
Carlos Berlocq	Argentina	29	184	81	М	02 03 1983		0	0	0	0	Tennis	Men's Singles
Yanet Bermoy Acosta	Cuba	25		51	Ж	5 29 1987	CIENFUEGOS	0	1	0	1	Judo	Women's -52kg
Patricia Alejandra Bermudez	Argentina	25	150	48	Ж	02 05 1987	SANTIAGO DEL ESTERO (ARG)	0	0	0	0	Wrestling	Women's 48kg Freestyle
Carlos Berna	Colombia	22	152	56	М	1 21 1990	CAREPA	0	0	0	0	Weightlifting	Men's 56kg
Antoni Bernado	Andorra	45	175	64	М	12 09 1966	Sant Julia de Loria (AND)	0	0	0	0	Athletics	Men's Marathon
Pablo Aitor Bernal Rosique	Spain	25	189	83	М	8 25 1986	ALHAMA DE MURCIA (ESP)	0	0	0	0	Cycling - Track	Men's Team Pursuit
Alain Bernard	France	29	196	90	М	05 01 1983	Aubagne (FRA)	1	0	0	1	Swimming	Men's 4x100m Freestyle Relay
Ali Sue Bernard	United States of America	26	173	72	Ж	04 11 1986	New Ulm (USA)	0	0	0	0	Wrestling	Women's 72kg Freestyle
Neisha Bernard-Thomas	Grenada	31	165	57	Ж	1 21 1981	SAINT PATRICK (GRN)	0	0	0	0	Athletics	Women's 800m
Jeimy Bernardez	Honduras	25	170	60	Ж	09 03 1986	TELA (HON)	0	0	0	0	Athletics	Women's 100m Hurdles
Natalia Bernardo	Angola	25	170	50	Ж	12 25 1986		0	0	0	0	Handball	Women's Handball
Sona Bernardova	Czech Republic	36	168		Ж	02 02 1976	Brno  (CZE)	0	0	0	0	Synchronised Swimming	Women's Duets
Milosz Bernatajtys	Poland	30	183	70	М	5 30 1982		0	0	0	0	Rowing	Men's Lightweight Four
Jean Baptiste Bernaz	France	25	183	77	М	7 18 1987	FREJUS (FRA)	0	0	0	0	Sailing	Men's Laser
Peter Bernek	Hungary	20	190	81	М	4 13 1992	Budapest (HUN)	0	0	0	0	Swimming	Men's 200m Backstroke, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay
Justine Bernier	Canada	23	178	70	Ж	3 20 1989		0	0	0	0	Football	Women's Football
Juozas Bernotas	Lithuania	23	186	80	М	4 23 1989	Kaunas (LTU)	0	0	0	0	Sailing	Men's RS-X
Cedric Berrest	France	27	191	97	М	04 02 1985		0	0	0	0	Rowing	Men's Double Sculls
Maria Bertelli	Great Britain	34	171	63	Ж	10 06 1977	TAMESIDE (GBR)	0	0	0	0	Volleyball	Women's Volleyball
Sara Bertolasi	Italy	24	178	68	Ж	4 29 1988		0	0	0	0	Rowing	Women's Pair
Ryan Bertrand	Great Britain	22	180	73	М	08 05 1989		0	0	0	0	Football	Men's Football
Elodie Bertrand	France	31	180	69	Ж	01 09 1981	Bordeaux (FRA)	0	0	0	0	Sailing	Women's Elliott 6m
Annemieke Bes	Netherlands	34	177	73	Ж	3 16 1978	Groningen (NED)	0	0	0	0	Sailing	Women's Elliott 6m
Azza Besbes	Tunisia	21	175	62	Ж	11 28 1990		0	0	0	0	Fencing	Women's Individual Sabre
Sarra Besbes	Tunisia	23	175	62	Ж	02 05 1989		0	0	0	0	Fencing	Women's Individual Epee
Irina Bespalova	Russian Federation	31	172	60	Ж	5 31 1981	Arkhangelsk (RUS)	0	0	0	0	Swimming	Women's 100m Butterfly, Women's 4x100m Medley Relay
Mariya Bespalova	Russian Federation	26	183	85	Ж	5 21 1986	LENINGRAD183 (RUS)	0	0	0	0	Athletics	Women's Hammer Throw
Gabriela Best	Argentina	27	186	75	Ж	12 01 1984		0	0	0	0	Rowing	Women's Pair
Ana Talia Betancur David	Colombia	26	163	72	Ж	1 17 1986	MEDELLIN (COL)	0	0	0	0	Wrestling	Women's 72kg Freestyle
Berta Betanzos	Spain	24	178	72	Ж	1 15 1988	Santander (ESP)	0	0	0	0	Sailing	Women's 470
Yoandris Betanzos	Cuba	30			М	2 15 1982	Santiago de Cuba (CUB)	0	0	0	0	Athletics	Men's Triple Jump
Artur Beterbiev	Russian Federation	27	184		М	1 21 1985	Khasavyurt (RUS)	0	0	0	0	Boxing	Men's Heavy (91kg)
Charles Edward Betts	United States of America	26	173	84	М	03 08 1986	Minneapolis (USA)	0	0	0	0	Wrestling	Men's 84kg Greco-Roman
Sam Bewley	New Zealand	25	191	81	М	7 22 1987	Rotorua (NZL)	0	0	0	0	Cycling - Mountain Bike, Cycling - Track	Men's Cross-country, Men's Team Pursuit
Simon Beyeler	Switzerland	30	170	63	М	06 11 1982	Bern (SUI)	0	0	0	0	Shooting	Men's 10m Air Rifle, Men's 50m Rifle 3 Positions
Bebey Beyene	Cameroon	20	168	70	Ж	05 10 1992		0	0	0	0	Football	Women's Football
Ursa Bezan	Slovenia	18	180	68	Ж	5 24 1994	Kranj (SLO)	0	0	0	0	Swimming	Women's 4x200m Freestyle Relay
Sergiy Bezugliy	Azerbaijan	27	183	84	М	10 07 1984		0	0	0	0	Canoe Sprint	Men's Canoe Double (C2) 1000m
Arjan Bhullar	Canada	26	180	120	М	5 13 1986	Vancouver (CAN)	0	0	0	0	Wrestling	Men's 120kg Freestyle
Mahesh Bhupathi	India	38			М	06 07 1974		0	0	0	0	Tennis	Men's Doubles
Muhammad Umar Bhutta	Pakistan	19			М	12 24 1992		0	0	0	0	Hockey	Men's Hockey
Yauhen Biadulin	Belarus	26	191	100	М	09 01 1985	Mogilev (BLR)	0	0	0	0	Judo	Men's -100kg
Cecilia Biagioli	Argentina	27	165	52	Ж	01 03 1985	Cordoba (ARG)	0	0	0	0	Swimming	Women's 800m Freestyle, Women's 10km Marathon
Ilaria Bianchi	Italy	22	170	74	Ж	01 06 1990	CASTEL SAN PIETRO TERME (ITA)	0	0	0	0	Swimming	Women's 100m Butterfly, Women's 4x100m Medley Relay
Roberta Bianconi	Italy	23	175	74	Ж	07 08 1989	RAPALLO (ITA)	0	0	0	0	Water Polo	Women's Water Polo
Aude Biannic	France	21	176	63	Ж	3 27 1991	LANDERNEAU (FRA)	0	0	0	0	Cycling - Road	Women's Road Race
Nora Aida Bicet	Spain	34	176	96	Ж	10 29 1977	PALMA SORIANO (ESP)	0	0	0	0	Athletics	Women's Javelin Throw
Bence Biczo	Hungary	19	182	80	М	1 19 1993	Pecs (HUN)	0	0	0	0	Swimming	Men's 200m Butterfly
Walid Bidani	Algeria	18	180	100	М	06 11 1994	MAGHNIA TLEMCEN (ALG)	0	0	0	0	Weightlifting	Men's 105kg
Soufiane Bidaoui	Morocco	22	168	63	М	4 20 1990		0	0	0	0	Football	Men's Football
Mohammad Bidaryan	Islamic Republic of Iran	23	186	87	М	9 18 1988	Tehran (IRI)	0	0	0	0	Swimming	Men's 100m Freestyle
Paul Biedermann	Germany	25	195	95	М	08 07 1986	HALLE (GER)	0	0	0	0	Swimming	Men's 200m Freestyle, Men's 400m Freestyle, Men's 4x200m Freestyle Relay
Graham Biehl	United States of America	25	178	73	М	8 31 1986	San Diego (USA)	0	0	0	0	Sailing	Men's 470
Maciej Bielecki	Poland	25	173	80	М	5 19 1987	Bialystok (POL)	0	0	0	0	Cycling - Track	Men's Team Sprint
Quentin Bigot	France	19	177	90	М	12 01 1992	HAYANGE (FRA)	0	0	0	0	Athletics	Men's Hammer Throw
Tetyana Bilenko	Ukraine	28	177	72	Ж	11 23 1983	Kharkiv (UKR)	0	0	0	0	Table Tennis	Women's Singles
Erol Bilgin	Turkey	25	158	62	М	2 20 1987	K√ºtahya	0	0	0	0	Weightlifting	Men's 62kg
Rahman Bilici	Turkey	27	160	60	М	10 28 1984	Erzurum (TUR)	0	0	0	0	Wrestling	Men's 60kg Greco-Roman
Mira Bimperling	Germany	18	176		Ж	3 31 1994	SAARLOUIS (GER)	0	0	0	0	Gymnastics - Rhythmic	Group All-Around
Mete Binay	Turkey	27	172	69	М	1 19 1985	TOKAT	0	0	0	0	Weightlifting	Men's 69kg
Jenny Bindon	New Zealand	39	179	63	Ж	2 25 1973		0	0	0	0	Football	Women's Football
Abhinav Bindra	India	29			М	9 28 1982	DEHRADUN (IND)	0	0	0	0	Shooting	Men's 10m Air Rifle
Karsten Bindrich	Germany	39	188	105	М	4 15 1973	WITTENBERG (GER)	0	0	0	0	Shooting	Men's Trap
Wilfried Bingangoye	Gabon	27			М	3 25 1985	OMOYE/NGOUONI (GAB)	0	0	0	0	Athletics	Men's 100m
Amanda Bingson	United States of America	22	165	91	Ж	2 20 1990	VICTORVILLE (USA)	0	0	0	0	Athletics	Women's Hammer Throw
Beni Bertrand Binobagira	Burundi	23	176	69	М	04 05 1989	BUJUMBURA (BDI)	0	0	0	0	Swimming	Men's 100m Freestyle
Joshua Binstock	Canada	31	196	99	М	01 12 1981		0	0	0	0	Beach Volleyball	Men's Beach Volleyball
Emanuele Birarelli	Italy	31	200	95	М	02 08 1981	SENIGALLIA (ITA)	0	0	0	0	Volleyball	Men's Volleyball
Roxana Elisabeta Birca	Romania	24	167	47	Ж	6 22 1988	Bucuresti (ROU)	0	0	0	0	Athletics	Women's 5000m
Stephen Bird	Australia	24	189	86	М	05 11 1988		0	0	0	0	Canoe Sprint	Men's Kayak Double (K2) 200m
Sue Bird	United States of America	31	175	67	Ж	10 16 1980		0	0	0	0	Basketball	Women's Basketball
Daniel Birgmark	Sweden	39	191	93	М	03 05 1973	HARKLANDA (SWE)	0	0	0	0	Sailing	Men's Finn
Collis Birmingham	Australia	27	189	71	М	12 27 1984	Carlton (AUS)	0	0	0	0	Athletics	Men's 5000m
Emmanuel Biron	France	24	177	65	М	7 29 1988	LYON 2 (FRA)	0	0	0	0	Athletics	Men's 4 x 100m Relay
Peter Biros	Hungary	36	196	102	М	04 05 1976		0	0	0	0	Water Polo	Men's Water Polo
Ole Bischof	Germany	32	180	81	М	8 27 1979	REUTLINGEN (GER)	0	1	0	1	Judo	Men's -81kg
Abby Bishop	Australia	23	189	85	Ж	11 29 1988		0	0	0	0	Basketball	Women's Basketball
Melissa Bishop	Canada	23	173	59	Ж	08 05 1988	EGANVILLE (CAN)	0	0	0	0	Athletics	Women's 800m
Stuart Bithell	Great Britain	25	186	80	М	8 28 1986	ROCHDALE (GBR)	0	0	0	0	Sailing	Men's 470
Andre Biyogho	Gabon	19	172	68	М	01 01 1993		0	0	0	0	Football	Men's Football
Christine Bjerendal	Sweden	25	161	66	Ж	02 03 1987	LINDOME	0	0	0	0	Archery	Women's Individual
Tyler Bjorn	Canada	42	189	104	М	3 13 1970	Montreal (CAN)	0	0	0	0	Sailing	Men's Star
Pirmin Blaak	Netherlands	24	188	83	М	03 08 1988		0	0	0	0	Hockey	Men's Hockey
Elsabeth Black	Canada	16	155		Ж	09 08 1995	Halifax (CAN)	0	0	0	0	Gymnastics - Artistic	Women's Team, Women's Qualification
Alicia Blagg	Great Britain	15	167	60	Ж	10 21 1996	Wakefield (GBR)	0	0	0	0	Diving	Women's Synchronised 3m Springboard
Jelena Blagojevic	Serbia	23	181	70	Ж	12 01 1988	ZEMUN (SRB)	0	0	0	0	Volleyball	Women's Volleyball
Dominique Blake	Jamaica	25	178	64	Ж	2 15 1987	New York (USA)	0	0	0	0	Athletics	Women's 4 x 400m Relay
Yohan Blake	Jamaica	22	180	76	М	12 26 1989	St James (JAM)	0	0	0	0	Athletics	Men's 100m, Men's 200m, Men's 4 x 100m Relay
Elisa Blanchi	Italy	24	169		Ж	10 13 1987	VELLETRI (ITA)	0	0	0	0	Gymnastics - Rhythmic	Group All-Around
Cecilia Blanco	Spain	33	170	70	Ж	2 23 1979	Madrid (ESP)	0	0	0	0	Judo	Women's -70kg
Giovanna Blanco	Venezuela	29	175	120	Ж	12 18 1982	EL TIGRE (VEN)	0	0	0	0	Judo	Women's +78kg
Oiana Blanco	Spain	29	154	48	Ж	5 13 1983	ORIO (ESP)	0	0	0	0	Judo	Women's -48kg
Ricardo Blas Jr	Guam	25	185	218	М	10 19 1986	TAMUNING (GUM)	0	0	0	0	Judo	Men's +100kg
Andrea Blas Martinez	Spain	20	173	81	Ж	2 14 1992	Zaragoza (ESP)	0	0	0	0	Water Polo	Women's Water Polo
Anita Blaze	France	20	166	52	Ж	29/10/1991 (FRA)		0	0	0	0	Fencing	Women's Team Foil
Marko Blazhevski	Former Yugoslav Republic of Macedonia	19	183	73	М	11 10 1992	Skopje (MKD)	0	0	0	0	Swimming	Men's 400m Individual Medley
Holly Bleasdale	Great Britain	20	175	70	Ж	11 02 1991	Preston (GBR)	0	0	0	0	Athletics	Women's Pole Vault
Julia Bleasdale	Great Britain	30	167	46	Ж	09 09 1981	Hillingdon (GBR)	0	0	0	0	Athletics	Women's 5000m, Women's 10,000m
Keston Bledman	Trinidad and Tobago	24	180	88	М	03 08 1988	San Fernando (TRI)	0	0	0	0	Athletics	Men's 100m, Men's 4 x 100m Relay
