ФИО	Страна	Возраст	Рост, см	Вес	Пол	Дата рождения	Место рождения	Золото	Серебро	Бронза	Всего	Вид спорта	Состязание
Pavle Kostov	Croatia	24	181	77	М	9 28 1987	ZADAR (CRO)	0	0	0	0	Sailing	Men's 49er
Boyanka Kostova	Azerbaijan	19	150	57	Ж	05 10 1993	Plovdiv	0	0	0	0	Weightlifting	Women's 58kg
Singh Kothajit	India	19			М	8 17 1992		0	0	0	0	Hockey	Men's Hockey
Aleksandra Kotlyarova	Uzbekistan	23	175	60	Ж	10 10 1988	Samarkand (UZB)	0	0	0	0	Athletics	Women's Triple Jump
Rene Philippe Kouassi	C√¥te d'Ivoire	32	190	77	М	12 14 1979	ADZOPE	0	0	0	0	Archery	Men's Individual
Wael Koubrosli	Lebanon	24	185	87	М	06 12 1988	Beirut (LIB)	0	0	0	0	Swimming	Men's 100m Breaststroke
Sviatlana Kouhan	Belarus	31	163	51	Ж	8 26 1980	NEMANITSA (BLR)	0	0	0	0	Athletics	Women's Marathon
Petr Koukal	Czech Republic	26	192	90	М	12 14 1985	HOROVICE	0	0	0	0	Badminton	Men's Singles
Denis Koulakov	Russian Federation	29	174	70	М	11 21 1982	Chelyabinsk (RUS)	0	0	0	0	Shooting	Men's 10m Air Pistol
Audrey Koumba	Gabon	23	160	78	Ж	04 08 1989	LIBREVILLE (GAB)	0	0	0	0	Judo	Women's -78kg
Tandjigora Koumba Abdoulaye	Gabon	22	174	68	М	04 06 1990		0	0	0	0	Football	Men's Football
Cheikhou Kouyate	Senegal	22	192	75	М	12 21 1989		0	0	0	0	Football	Men's Football
Nikola Kovacevic	Serbia	29	193	78	М	2 14 1983	Kraljevo (SRB)	0	0	0	0	Volleyball	Men's Volleyball
Uros Kovacevic	Serbia	19	197	90	М	05 06 1993	Kraljevo (SRB)	0	0	0	0	Volleyball	Men's Volleyball
Katalin Kovacs	Hungary	36	173	64	Ж	2 29 1976		0	0	0	0	Canoe Sprint	Women's Kayak Double (K2) 500m, Women's Kayak Four (K4) 500m
Sarolta Kovacs	Hungary	21	167	59	Ж	03 12 1991	TAPOLCA (HUN)	0	0	0	0	Modern Pentathlon	Women's Modern Pentathlon
Tamas Kovacs	Hungary	28	179	62	М	9 18 1983	HODMEZOVASARHELY (HUN)	0	0	0	0	Athletics	Men's Marathon
Zsofia Kovacs	Hungary	24	180	60	Ж	02 07 1988	Gyongyos (HUN)	0	0	0	0	Triathlon	Women's Triathlon
Lyudmyla Kovalenko	Ukraine	23	167	53	Ж	6 26 1989	BERDYCHYV (UKR)	0	0	0	0	Athletics	Women's 5000m
Nazar Kovalenko	Ukraine	25	178	70	М	02 09 1987	VINNYTSA REGION (UKR)	0	0	0	0	Athletics	Men's 20km Race Walk
Sergei Kovalenko	Russian Federation	42	172	70	М	02 05 1970	VOLYNSK ()	0	0	0	0	Shooting	Men's 50m Rifle Prone
Evgeny Kovalev	Russian Federation	23	184	75	М	03 06 1989	Moscow (RUS)	0	0	0	0	Cycling - Track	Men's Team Pursuit
Ivan Kovalev	Russian Federation	26	184	78	М	7 26 1986	Sverdlovsk (RUS)	0	0	0	0	Cycling - Track	Men's Team Pursuit
Nikolay Kovalev	Russian Federation	25	176	70	М	10 28 1986		0	0	1	1	Fencing	Men's Individual Sabre, Men's Team Sabre
Ainars Kovals	Latvia	30	191	100	М	11 21 1981	Riga (LAT)	0	0	0	0	Athletics	Men's Javelin Throw
Mariia Kovtunovskaia	Russian Federation	23	165	61	Ж	12 19 1988	Gorkiy (RUS)	0	0	0	0	Water Polo	Women's Water Polo
Yoann Kowal	France	25	172	68	М	5 28 1987	Nogent	0	0	0	0	Athletics	Men's 1500m
Katarzyna Kowalska	Poland	27	178	55	Ж	04 07 1985	LIPNO (POL)	0	0	0	0	Athletics	Women's 3000m Steeplechase
Kevin Kowalyk	Canada	31	196	100	М	9 27 1980		0	0	0	0	Rowing	Men's Double Sculls
Danuta Kozak	Hungary	25	168	62	Ж	01 11 1987		0	0	0	0	Canoe Sprint	Women's Kayak Single (K1) 500m, Women's Kayak Four (K4) 500m
Ayman Kozhakhmetova	Kazakhstan	21	168	57	Ж	4 23 1991	TALDYKORGAN (KAZ)	0	0	0	0	Athletics	Women's 20km Race Walk
Sholpan Kozhakhmetova	Kazakhstan	21	168	57	Ж	4 23 1991	TALDYKORGAN (KAZ)	0	0	0	0	Athletics	Women's 20km Race Walk
Anastasiia Kozhenkova	Ukraine	26	186	73	Ж	1 19 1986		1	0	0	1	Rowing	Women's Quadruple Sculls
Aleksei Kozlov	Belarus	23	176	66	М	07 11 1989		0	0	0	0	Football	Men's Football
Kacper Kozlowski	Poland	25	177	70	М	12 07 1986	Olsztyn (POL)	0	0	0	0	Athletics	Men's 4 x 400m Relay
Dominik Kozma	Hungary	21	191	77	М	04 10 1991	DUNFERMLINE (HUN)	0	0	0	0	Swimming	Men's 100m Freestyle, Men's 200m Freestyle, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay
Primoz Kozmus	Slovenia	32	188	112	М	9 30 1979	Novo Mesto (SLO)	0	0	0	0	Athletics	Men's Hammer Throw
Adzo Kpossi	Togo	13	158	53	Ж	1 25 1999	Lome (TOG)	0	0	0	0	Swimming	Women's 50m Freestyle
Marek Krajcovic	Slovakia	20	183	77	М	08 03 1992		0	0	0	0	Canoe Sprint	Men's Kayak Double (K2) 1000m
Iurii Krakovetskii	Kyrgyzstan	19	180	100	М	8 27 1992	Bishkek (KGZ)	0	0	0	0	Judo	Men's +100kg
Milka Kraljev	Argentina	29	166	55	Ж	11 08 1982		0	0	0	0	Rowing	Women's Lightweight Double Sculls
Matija Kranjc	Slovenia	28	183	91	М	06 12 1984	Ljubljana (SLO)	0	0	0	0	Athletics	Men's Javelin Throw
Sabine Krantz	Germany	31	167	51	Ж	02 06 1981	Potsdam (GER)	0	0	0	0	Athletics	Women's 20km Race Walk
Vladimir Krasnov	Russian Federation	21	190	70	М	8 19 1990	Irkutsk Region (RUS)	0	0	0	0	Athletics	Men's 4 x 400m Relay
Franciela Krasucki	Brazil	24		59	Ж	4 26 1988	Valinhos (BRA)	0	0	0	0	Athletics	Women's 4 x 100m Relay
Gesa Felicitas Krause	Germany	20	167	50	Ж	08 03 1992	EHRINGSHAUSEN (GER)	0	0	0	0	Athletics	Women's 3000m Steeplechase
Anna Kravchenko	Ukraine	26	186	80	Ж	6 25 1986		0	0	0	0	Rowing	Women's Double Sculls
Kalinikos Kreanga	Greece	40	168	60	М	03 08 1972	Bistrita (ROU)	0	0	0	0	Table Tennis	Men's Singles
Jan Kreisinger	Czech Republic	27	186	70	М	9 16 1984	ZATEC (CZE)	0	0	0	0	Athletics	Men's Marathon
Peter Kretschmer	Germany	20	175	70	М	2 15 1992		0	0	0	0	Canoe Sprint	Men's Canoe Double (C2) 1000m
Roman Kreuziger	Czech Republic	26	183	67	М	05 06 1986	Moravska Trebova (CZE)	0	0	0	0	Cycling - Road	Men's Road Race
